[20,20]
(0,1)
(2,2,1,1)
(14,13)
(2,0,2,2)
(8,0,1,2)
(10,0,1,1)
(2,3,1,2)
(3,4,3,1)
(9,3,1,1)
(8,4,2,1)
(0,4,1,3)
(1,8,4,1)
(6,6,1,2)
(11,6,2,1)
(11,13,2,1)
(9,17,1,0)
(13,9,1,1)
(1,7,1,0)
(0,11,1,2)
(13,17,2,2)
(2,2,2,2)
(13,11,2,2)
(3,13,2,2)
(12,5,0,1)
(1,8,1,0)
(8,9,0,0)
(14,9,1,2)
(2,11,2,2)
(11,4,1,0)
(2,10,0,0)
(11,17,1,2)
(2,2,1,2)
(17,15,1,0)
(10,6,0,0)
(14,4,2,2)
(17,3,1,0)
(17,9,0,2)
(3,5,1,1)
(3,15,1,1)
(10,9,2,0)
(8,13,0,1)
(7,11,2,0)
(9,2,2,1)
(10,17,1,2)
(10,6,0,2)
(14,7,2,2)
(6,12,1,1)
(10,6,2,1)
(4,3,0,0)
(2,7,0,2)
(13,11,2,0)
(5,5,1,2)
(9,13,0,0)
(2,9,2,0)
(14,11,2,2)
(3,17,0,2)
(11,13,0,2)
(11,17,2,1)
(10,2,0,0)
(4,17,0,2)
(4,4,2,2)
(7,3,1,0)
(4,4,0,2)
(10,1,1,0)
(11,8,0,0)
(11,9,1,1)
(4,13,0,1)
(1,4,2,0)
(8,16,1,2)
(2,10,2,0)
(16,11,0,2)
(6,13,2,2)
(2,1,1,1)
(7,10,1,0)
(1,1,2,0)
(9,8,2,2)
(16,4,0,2)
(17,15,0,2)
(6,3,0,1)
(1,3,0,0)
(12,13,2,1)
(14,4,0,2)
(12,14,0,1)
(7,4,2,1)
(8,15,2,0)
(10,11,2,0)
(14,13,2,0)
